epoch,acc,loss,lr,val_acc,val_loss
0,0.02625,4.364190301895142,0.01,3.75,-14.365
1,0.019375,3.8057942676544187,0.01,2.0,-19.525
2,0.045,3.5334793663024904,0.01,2.75,-10.5775
3,0.03,3.402750825881958,0.01,2.25,-5.4975
4,0.0425,3.341447534561157,0.01,5.0,-6.5825
5,0.041875,3.2882890033721925,0.01,2.75,-2.6475
6,0.051875,3.2502317333221438,0.01,5.0,-1.7825
7,0.06,3.2152176570892332,0.01,2.5,-3.4275
8,0.058125,3.1734259510040284,0.01,4.5,0.9675
9,0.074375,3.170181379318237,0.01,2.25,-9.5425
10,0.07875,3.1162731647491455,0.01,5.5,-2.0025
11,0.05625,3.347873497009277,0.1,3.5000000000000004,-16.805
12,0.04625,3.321718235015869,0.1,4.75,-18.57
13,0.06375,3.260312385559082,0.1,5.25,2.945
14,0.063125,3.1655212020874024,0.1,5.75,7.31
15,0.07875,3.1224004936218264,0.1,7.249999999999999,-3.8125
16,0.086875,3.0920931339263915,0.1,8.5,4.7375
17,0.095,3.0571328449249267,0.1,9.5,-3.4475
18,0.1075,2.990420503616333,0.1,11.25,1.895
19,0.11625,2.9558618545532225,0.1,11.25,-1.31
20,0.14,2.9303871250152587,0.1,13.750000000000002,-3.3125
21,0.151875,2.8846695709228514,0.1,8.0,5.1075
22,0.1425,2.856938695907593,0.1,11.25,-4.8275
23,0.178125,2.8150680446624756,0.1,11.25,-6.595
24,0.168125,2.835599546432495,0.1,16.5,-2.785
25,0.175,2.7768293476104735,0.1,16.0,2.955
26,0.191875,2.7219950771331787,0.1,20.5,-4.14
27,0.1975,2.693011360168457,0.1,21.75,-2.1175
28,0.215,2.697782726287842,0.1,22.25,2.545
29,0.209375,2.658558101654053,0.1,26.75,0.6375
30,0.215625,2.639135580062866,0.1,18.75,-1.985
31,0.206875,2.67412109375,0.1,11.75,-8.7575
32,0.228125,2.6060924530029297,0.1,22.75,-4.0725
33,0.25,2.5560087966918945,0.1,30.25,1.08
34,0.268125,2.5199835205078127,0.1,25.0,-1.325
35,0.28625,2.4759314823150635,0.1,30.25,2.0475
36,0.26375,2.5218370246887205,0.1,35.0,-1.1125
37,0.2825,2.4893642711639403,0.1,31.5,1.065
38,0.283125,2.4635579586029053,0.1,41.5,1.24
39,0.28125,2.4503310680389405,0.1,34.75,-0.4975
40,0.295,2.4193574142456056,0.1,37.5,-1.255
41,0.328125,2.359979496002197,0.1,48.0,1.0725
42,0.3025,2.4025496864318847,0.1,32.5,0.0425
43,0.33625,2.3367537307739257,0.1,45.0,-0.42
44,0.32125,2.3890170288085937,0.1,43.75,1.0325
45,0.345,2.338145399093628,0.1,45.75,2.185
46,0.331875,2.372704477310181,0.1,47.5,-1.47
47,0.346875,2.2720289993286134,0.1,35.75,2.49
48,0.343125,2.335392503738403,0.1,40.5,-0.07
49,0.360625,2.2747845315933226,0.1,44.75,-0.025
50,0.37375,2.23638192653656,0.1,38.5,-5.795
51,0.369375,2.2347133445739744,0.1,44.75,3.55
52,0.350625,2.23949875831604,0.1,38.0,-0.04
53,0.37375,2.237742404937744,0.1,39.25,-2.335
54,0.3575,2.260177659988403,0.1,43.0,1.955
55,0.36625,2.2538868141174317,0.1,44.75,-0.76
56,0.366875,2.234534044265747,0.1,50.5,-0.6725
57,0.366875,2.198842668533325,0.1,52.5,1.3125
58,0.396875,2.166809391975403,0.1,48.75,-0.7075
59,0.4075,2.1453133821487427,0.1,46.75,1.0775
60,0.3775,2.166514267921448,0.1,48.25,-0.605
61,0.390625,2.1388467025756834,0.1,45.0,0.9025
62,0.410625,2.0651877784729002,0.1,60.0,1.58
63,0.42,2.0550661420822145,0.1,53.25,0.955
64,0.418125,2.1030141830444338,0.1,45.25,3.5725
65,0.421875,2.082075037956238,0.1,46.75,1.295
66,0.424375,2.1001365518569948,0.1,55.25,1.19
67,0.4075,2.0760802602767945,0.1,41.0,-2.4825
68,0.4475,2.0292210388183594,0.1,59.0,1.835
69,0.42,2.024934573173523,0.1,47.25,-1.6825
70,0.444375,1.9973055744171142,0.1,57.75,1.9475
71,0.419375,2.0591587018966675,0.1,54.0,2.8475
72,0.443125,2.020278615951538,0.1,56.25,1.7975
73,0.44875,1.9624472618103028,0.1,60.75000000000001,0.4775
74,0.448125,2.0197728490829467,0.1,64.75,0.22
75,0.434375,2.0080120754241944,0.1,63.74999999999999,1.155
76,0.473125,1.9557863426208497,0.1,58.75,1.2925
77,0.460625,1.9723664379119874,0.1,56.99999999999999,1.03
78,0.44,1.9687378406524658,0.1,62.0,1.2075
79,0.461875,1.930267457962036,0.1,63.74999999999999,1.0875
80,0.45875,1.9535737323760987,0.1,49.25,-0.365
81,0.461875,1.9347326517105103,0.1,63.74999999999999,0.5775
82,0.465,1.945738344192505,0.1,58.75,1.2975
83,0.468125,1.9488419532775878,0.1,64.0,0.435
84,0.485625,1.9235300159454345,0.1,59.5,0.54
85,0.4775,1.9150684881210327,0.1,59.75,3.4
86,0.480625,1.885982494354248,0.1,66.25,1.83
87,0.476875,1.890736665725708,0.1,61.5,0.0725
88,0.4825,1.8848549795150757,0.1,62.0,-0.15
89,0.47875,1.8957869052886962,0.1,62.74999999999999,0.2875
90,0.485625,1.8895482540130615,0.1,57.49999999999999,0.15
91,0.515625,1.8061808395385741,0.1,65.5,0.6225
92,0.490625,1.8378184127807617,0.1,67.0,1.04
93,0.519375,1.8322415590286254,0.1,60.25,1.6525
94,0.50375,1.8292215967178345,0.1,67.25,1.72
95,0.515,1.810122208595276,0.1,66.0,-0.0475
96,0.498125,1.8442325830459594,0.1,62.0,0.565
97,0.5125,1.81817777633667,0.1,60.75000000000001,1.3675
98,0.49875,1.8474519538879395,0.1,65.0,-0.12
99,0.50125,1.8302334928512574,0.1,67.5,0.2375
100,0.5225,1.7856882429122924,0.1,62.0,1.1175
101,0.528125,1.7906427383422852,0.1,59.0,-1.8225
102,0.515,1.78394868850708,0.1,68.5,0.8325
103,0.529375,1.8193429899215698,0.1,65.25,1.9925
104,0.503125,1.8336401891708374,0.1,68.25,1.6575
105,0.520625,1.7816782951354981,0.1,69.25,1.0875
106,0.545,1.748461365699768,0.1,73.5,1.02
107,0.528125,1.7566093254089354,0.1,69.0,1.12
108,0.550625,1.713003478050232,0.1,67.25,0.305
109,0.54625,1.714949312210083,0.1,68.5,1.325
110,0.54125,1.7462983798980714,0.1,62.74999999999999,1.445
111,0.52625,1.770948896408081,0.1,64.75,0.9075
112,0.53375,1.7509346532821655,0.1,70.75,0.155
113,0.53125,1.737281756401062,0.1,68.5,0.81
114,0.5475,1.7143649244308472,0.1,66.25,1.5975
115,0.54125,1.7084273672103882,0.1,69.25,1.275
116,0.51625,1.7679480075836183,0.1,72.25,1.6725
117,0.56,1.6622666597366333,0.1,72.25,0.4725
118,0.54,1.7429784870147704,0.1,73.75,0.1875
119,0.548125,1.6692375135421753,0.1,68.75,2.0125
120,0.571875,1.6558413362503053,0.1,65.5,1.84
121,0.5625,1.6640590620040894,0.1,70.5,1.0575
122,0.545,1.7142630863189696,0.1,74.0,0.6025
123,0.551875,1.6940502977371217,0.1,64.75,1.595
124,0.5575,1.6804782915115357,0.1,63.24999999999999,1.6075
125,0.549375,1.6725295448303223,0.1,68.25,0.9825
126,0.526875,1.7000903701782226,0.1,68.75,0.23
